Manual,LANG ID,Status
CvPcb, fr, 7 translated; 226 untranslated
CvPcb, it, 233 translated
CvPcb, pl, 233 translated
Eeschema, it, 261 translated; 1 fuzzy; 1108 untranslated
Eeschema, pl, 1370 translated
GerbView, it, 59 translated; 344 untranslated
GerbView, pl, 403 translated
Getting_Started_in_KiCad, it, 80 translated; 1 fuzzy; 246 untranslated
Getting_Started_in_KiCad, nl, 0 translated; 325 untranslated
Getting_Started_in_KiCad, pl, 327 translated
IDF_Exporter, it, 37 translated; 1 fuzzy; 56 untranslated
IDF_Exporter, pl, 94 translated
KiCad, it, 170 translated
KiCad, pl, 170 translated
Pcbnew, fr, 6 translated; 1155 untranslated
Pcbnew, it, 123 translated; 3 fuzzys; 1035 untranslated
Pcbnew, pl, 256 translated; 905 untranslated
Pl_Editor, fr, 5 translated; 228 untranslated
Pl_Editor, it, 229 translated; 4 untranslated
Pl_Editor, pl, 233 translated
